order_details_id,order_code,hotel_id,hotel_name,room_id,room_name,type_room_id,price_room,hotel_fee,created_at,updated_at,orderer_id,order_status,start_day,end_day,avg_location_rating,avg_service_rating,avg_price_rating,avg_sanitary_rating,avg_convenient_rating,num_reviews,overall_rating
31,MYHOTEL2607,3,Mường Thanh Luxury,5,Phòng Premier Deluxe Twin,3,1500000.0,100000.0,2024-05-05 12:56:02,nan,31.0,2.0,05-05-2024,06-05-2024,4.610091743119266,4.481651376146789,3.9908256880733943,4.587155963302752,4.605504587155964,218,4.4550458715596335
32,MYHOTEL2538,2,Meliá Vinpearl Riverfront,6,Deluxe Room,7,2350144.8,235014.48,2024-05-05 13:13:33,nan,32.0,-2.0,09-05-2024,11-05-2024,4.5,4.564516129032258,3.9596774193548385,4.580645161290323,4.516129032258065,248,4.424193548387096
33,MYHOTEL7530,20,Khách Sạn Eden Ocean View,59,Premium Sea Side Twin,154,7833816.0,0.0,2024-05-06 08:33:38,nan,33.0,2.0,10-05-2024,16-05-2024,3.875,3.84375,2.9895833333333335,3.7708333333333335,3.9270833333333335,96,3.68125
34,MYHOTEL432,19,The Blossom Resort Island,56,Deluxe King Room with Street View,147,4150000.0,0.0,2024-05-06 10:05:11,nan,34.0,0.0,19-05-2024,21-05-2024,3.9473684210526314,3.8026315789473686,3.013157894736842,3.723684210526316,3.789473684210526,152,3.655263157894737
51,MYHOTEL8735,3,Mường Thanh Luxury,2,Phòng Grand Suite,1,2418680.0,100000.0,2024-05-21 17:03:33,nan,51.0,-2.0,24-05-2024,26-05-2024,4.610091743119266,4.481651376146789,3.9908256880733943,4.587155963302752,4.605504587155964,218,4.4550458715596335
52,MYHOTEL9671,5,The Nalod,13,Phòng Premier Deluxe Twin,29,4419295.2,100000.0,2024-06-04 11:33:55,2024-06-16 15:35:56,52.0,-2.0,07-06-2024,09-06-2024,4.576271186440678,4.622881355932203,4.0508474576271185,4.576271186440678,4.546610169491525,236,4.474576271186441
52,MYHOTEL9671,5,The Nalod,13,Phòng Premier Deluxe Twin,29,4419295.2,100000.0,2024-06-04 11:33:55,2024-06-16 15:35:56,5633.0,2.0,21-02-2024,23-02-2024,4.576271186440678,4.622881355932203,4.0508474576271185,4.576271186440678,4.546610169491525,236,4.474576271186441
57,MYHOTEL8696,5,The Nalod,12,Phòng Deluxe King,26,2616960.0,100000.0,2024-06-04 12:11:19,2024-06-16 15:36:08,57.0,0.0,07-06-2024,09-06-2024,4.576271186440678,4.622881355932203,4.0508474576271185,4.576271186440678,4.546610169491525,236,4.474576271186441
57,MYHOTEL8696,5,The Nalod,12,Phòng Deluxe King,26,2616960.0,100000.0,2024-06-04 12:11:19,2024-06-16 15:36:08,4521.0,2.0,06-07-2024,09-07-2024,4.576271186440678,4.622881355932203,4.0508474576271185,4.576271186440678,4.546610169491525,236,4.474576271186441
58,MYHOTEL9000,19,The Blossom Resort Island,56,Deluxe King Room with Street View,147,2075000.0,0.0,2024-06-04 12:41:11,nan,58.0,-2.0,04-06-2024,05-06-2024,3.9473684210526314,3.8026315789473686,3.013157894736842,3.723684210526316,3.789473684210526,152,3.655263157894737
58,MYHOTEL9000,19,The Blossom Resort Island,56,Deluxe King Room with Street View,147,2075000.0,0.0,2024-06-04 12:41:11,nan,5059.0,2.0,01-06-2024,08-06-2024,3.9473684210526314,3.8026315789473686,3.013157894736842,3.723684210526316,3.789473684210526,152,3.655263157894737
58,MYHOTEL9000,19,The Blossom Resort Island,56,Deluxe King Room with Street View,147,2075000.0,0.0,2024-06-04 12:41:11,nan,5563.0,-2.0,29-11-2024,03-12-2024,3.9473684210526314,3.8026315789473686,3.013157894736842,3.723684210526316,3.789473684210526,152,3.655263157894737
59,MYHOTEL2930,3,Mường Thanh Luxury,5,Phòng Premier Deluxe Twin,3,7500000.0,100000.0,2024-06-04 12:54:36,nan,59.0,1.0,07-06-2024,12-06-2024,4.610091743119266,4.481651376146789,3.9908256880733943,4.587155963302752,4.605504587155964,218,4.4550458715596335
60,MYHOTEL9254,15,Four Points by Sheraton,42,Superior King Ocean View,110,6137877.2,0.0,2024-10-05 03:41:28,nan,60.0,0.0,05-10-2024,07-10-2024,4.381443298969073,4.515463917525773,3.9278350515463916,4.494845360824742,4.587628865979381,97,4.381443298969073
60,MYHOTEL9254,15,Four Points by Sheraton,42,Superior King Ocean View,110,6137877.2,0.0,2024-10-05 03:41:28,nan,2598.0,2.0,01-03-2024,05-03-2024,4.381443298969073,4.515463917525773,3.9278350515463916,4.494845360824742,4.587628865979381,97,4.381443298969073
64,MYHOTEL7770,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000.0,280500.0,2024-11-05 16:02:57,nan,104.0,0.0,07-11-2024,09-11-2024,4.568627450980392,4.583333333333333,4.029411764705882,4.588235294117647,4.607843137254902,204,4.475490196078431
64,MYHOTEL7770,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000.0,280500.0,2024-11-05 16:02:57,nan,129.0,0.0,07-11-2024,09-11-2024,4.568627450980392,4.583333333333333,4.029411764705882,4.588235294117647,4.607843137254902,204,4.475490196078431
65,MYHOTEL7770,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000.0,280500.0,2024-11-05 16:05:01,nan,104.0,0.0,07-11-2024,09-11-2024,4.568627450980392,4.583333333333333,4.029411764705882,4.588235294117647,4.607843137254902,204,4.475490196078431
65,MYHOTEL7770,4,Sheraton Grand Resort,9,Phòng Deluxe King,19,2601000.0,280500.0,2024-11-05 16:05:01,nan,129.0,0.0,07-11-2024,09-11-2024,4.568627450980392,4.583333333333333,4.029411764705882,4.588235294117647,4.607843137254902,204,4.475490196078431
